Friend ID,Email,First,Last,Lifetime Value
1001,aaron.arlington@email.com,Aaron,Arlington,300.11
1002,bob.barry@email.com,Bob,Barry,129.33
1003,candy.crawford@email.com,Candy,Crawford,555.20
1004,dana.dinkins@email.com,Dana,Dinkins,223.25
1005,etta.eddy@email.com,Etta,Eddy,55.32
1006,filli.fernandez@email.com,Filli,Fernandez,232.98
1007,greg.gusto@email.com,Greg,Gusto,42.99
1008,hank.hanover@email.com,Hank,Hanover,552.48
1009,iris.idella@email.com,Iris,Idella,23.99
1010,john.jenkins@email.com,John,Jenkins,57.25
1011,kris.kramer@email.com,Kris,Kramer,78.00
1012,larry.landman@email.com,Larry,Landman,255.00
1013,mary.martin@email.com,Mary,Martin,678.44
1014,nona.nollati@email.com,Nona,Nollati,232.00
1015,opal.oconnell@email.com,opal,O'Connell,246.41
1016,pat.paul@email.com,Pat,Paul,452.01
1017,quentin.queen@email.com,Quentin,Queen,62.00
1018,rina.rodriguez@email.com,Rina,Rodriguez,2.90
1019,stephanie.stevens@email.com,Stephanie,Stevens,236.47
1020,thomas.tropez@email.com,Thomas,Tropez,433.22
1021,ursula.underwood@email.com,Ursula,Underwood,633.04
1022,vera.ventura@email.com,Vera,Ventura,233.00
1023,willie.wilson@email.com,Willie,Wilson,562.90
1024,xena.xi@email.com,Xena,Xi,63.32
1025,yolanda.yan@email.com,Yolanda,Yan,10.00
1026,zach.zahn@email.com,Zach,Zahn,152.11
