Member ID,Email,First,Last,Enrollment Date,Program Level
4596-C-300,a_young@dickenson.com,Andy,Young,2018-04-16,silver
7434-C-201,agreen@uog.com,Avi,Green,2018-01-06,silver
4611-C-300,ajames@uog.com,Ashley,James,2017-07-12,gold
5199-C-202,asong@uog.com,Arthur,Song,2017-05-03,platinum
2227-C-300,efrank@genepoint.com,Edna,Frank,2017-06-21,platinum
3499-C-201,jane_gray@uoa.ed,Jane,Gray,2017-05-03,silver
9511-C-303,jrogers@burlington.com,Jack,Rogers,2018-01-10,silver
1887-C-200,lboyle@uog.com,Lauren,Boyle,2017-06-13,platinum
0248-C-300,ldcruz@uog.com,Liz,D'Cruz,2017-03-28,silver
9919-C-501,pat@pyramid.net,Pat,Stumuller,2017-04-07,platinum
6938-C-303,rose@edge.com,Rose,Gonzales,2017-01-02,silver
4792-C-300,sean@edge.com,Sean,Forbes,2018-05-22,silver
4816-C-300,spavlova@uog.com,Stella,Pavlova,2018-04-21,platinum
2080-C-202,tripley@uog.com,Tom,Ripley,2018-01-10,silver
